##########################################################################################################################################
# This is the online data table for the paper Li et. al (2018)
# "SDSS-IV MaNGA: Global stellar population and gradients for about 2000 early-type and spiral galaxies on the mass-size plane"
#
# Table title: Properties of all the galaxies in the sample of Li et al. (2018)
##########################################################################################################################################
#  MaNGA ID  | Morphology | logsigma_e | logM_{1/2} | logR_e | logAge |  [Z/H]  | logM^*/L | Delta logAge | Delta [Z/H] | Delta logM^*/L |
#            |            |    km/s    |    M_sun   |   kpc  |  years |         |          |              |             |
#     (1)    |     (2)    |    (3)     |     (4)    |   (5)  |   (6)  |   (7)   |    (8)   |     (9)      |     (10)    |       (11)     |
##########################################################################################################################################
1-47732            E           1.96        10.39       0.67     9.66     -0.23      0.51        +0.02          -0.12                -0.05
1-46757            E           2.13        10.54       0.56     9.90     -0.26      0.60        +0.09          -0.18                +0.00
1-46562            S           2.20        11.27       1.21     9.45     -0.32      0.51        -0.53          -0.65                -0.27
1-46825            E           2.31        11.27       0.91     9.88     +0.02      0.73        -0.17          -0.26                -0.21
1-564264           E           2.34        11.50       1.06     9.83     +0.04      0.67        -0.20          -0.11                -0.19
1-47248            E           2.40        11.41       0.88     9.96     +0.08      0.79        -0.08          -0.04                -0.10
1-47765            S           1.86        10.46       1.01     9.18     -0.87      0.25        -0.44          -0.10                -0.25
1-605419           E           2.27        11.26       0.97     9.70     +0.07      0.66        -0.17          -0.27                -0.09
1-47223            E           2.06        10.33       0.47     9.83     +0.06      0.67        +0.01          -0.17                -0.06
1-124604           S           2.10        10.59       0.74     9.43     -0.21      0.50        -0.27          -0.36                -0.05
1-585593           E           2.23        10.77       0.67     9.73     +0.09      0.60        -0.15          -0.22                -0.19
1-156061           E           2.01        10.03       0.21     9.87     -0.20      0.61        +0.05          -0.34                -0.04
1-155926           S           2.16        10.92       0.83     9.65     +0.09      0.60        -0.32          -0.36                -0.16
1-156137           S           2.09        10.93       1.03     9.22     -0.53      0.38        -0.28          -0.28                -0.11
1-155975           S           2.10        10.57       0.71     9.36     -0.45      0.39        +0.00          -0.11                +0.02
1-605863           S           2.15        10.54       0.55     9.71     +0.14      0.59        -0.14          -0.16                -0.15
1-605884           S           1.97        10.60       0.92     9.31     -0.34      0.44        -0.25          -0.30                -0.12
1-156074           S           1.81        10.13       0.70     9.13     -0.93      0.29        -0.31          -0.19                -0.13
1-156039           E           2.37        11.43       0.94     9.91     +0.09      0.73        -0.05          -0.09                -0.07
1-585632           E           2.16        10.79       0.71     9.50     -0.29      0.50        -0.04          +0.26                +0.00
1-156062           E           2.26        11.22       1.00     9.88     -0.27      0.69        -0.18          -0.42                -0.07
1-156158           E           2.13        11.25       1.25     9.25     -0.42      0.37        -0.13          -0.43                -0.10
1-320681           E           2.28        10.70       0.43     9.90     +0.14      0.74        -0.18          -0.15                -0.19
1-320664           S           2.17        10.66       0.76     9.95     +0.06      0.75        -0.15          +0.14                -0.08
1-321069           E           2.37        11.48       1.07     9.80     +0.14      0.66        -0.12          -0.05                -0.12
1-235587           E           2.04        10.27       0.50     9.66     +0.06      0.54        +0.04          -0.33                -0.04
1-320677           E           2.27        11.41       1.14     9.70     +0.12      0.60        -0.38          +0.18                -0.30
1-235576           S           2.10        10.82       0.75     9.74     -0.57      0.68        -0.04          +0.45                -0.14
1-235530           E           2.22        10.53       0.41     9.90     +0.07      0.73        -0.33          -0.15                -0.28
1-235398           S           2.10        10.67       0.78     9.71     -0.21      0.57        +0.13          -0.10                +0.06
1-320606           S           1.86        10.46       0.93     9.04     -0.86      0.21        -0.43          -0.55                -0.31
1-321074           E           2.27        11.04       0.83     9.64     +0.15      0.56        -0.10          -0.09                -0.10
1-235582           E           1.84         9.92       0.58     9.33     +0.07      0.30        +0.31          -0.20                +0.26
1-320584           E           2.47        11.70       1.08     9.94     +0.12      0.77        -0.19          -0.06                -0.16
1-235611           S           2.06        11.00       1.11     9.56     -0.15      0.56        -0.68          -0.52                -0.39
1-320655           E           2.37        11.25       0.78     9.85     +0.12      0.70        -0.23          +0.00                -0.16
1-24092            E           2.13        10.37       0.35     9.01     -0.73      0.42        +0.08          -0.28                +0.35
1-23979            E           2.00        10.25       0.53     9.59     -0.10      0.53        +0.02          -0.22                -0.01
1-24099            E           2.07        10.23       0.38     9.68     +0.10      0.57        -0.11          -0.17                -0.08
1-23929            S           1.80        10.25       0.83     9.34     -0.52      0.41        -0.41          -0.12                -0.08
1-24368            S           1.72         9.96       0.77     9.19     -0.76      0.20        -0.14          +0.06                -0.33
1-24354            S           1.75         9.87       0.51     9.83     -0.26      0.56        -0.14          +0.10                -0.07
1-595027           S           2.05        10.72       0.90     9.24     -0.75      0.48        -0.25          -0.72                -0.04
1-595093           S           2.17        10.99       1.03     9.66     -0.02      0.64        -0.40          -0.13                -0.19
1-24018            E           2.11        10.58       0.71     9.78     +0.07      0.64        -0.11          -0.22                -0.14
1-23891            S           2.20        10.82       0.78     9.80     +0.03      0.66        -0.26          +0.06                -0.18
1-24148            S           2.10        10.61       0.71     9.81     +0.05      0.69        -0.19          +0.10                -0.13
1-25937            S           2.22        11.34       1.22     9.70     -0.00      0.60        -0.36          -0.39                -0.25
1-25911            E           2.37        11.57       1.14     9.72     +0.09      0.59        -0.24          -0.09                -0.23
1-24124            S           1.68         9.74       0.53     9.43     +0.04      0.43        +0.06          +0.07                -0.02
1-115062           E           2.12        10.02       0.00     9.80     +0.11      0.65        -0.00          +0.04                -0.02
1-114928           E           2.24        10.76       0.67     9.91     -0.02      0.71        -0.12          -0.31                -0.19
1-115128           S           1.99        10.70       0.94     9.23     -0.59      0.34        -0.16          -0.50                -0.15
1-596598           E           1.99        10.43       0.74     9.78     -0.28      0.70        -0.18          +0.36                -0.33
1-636015           S           2.09        10.83       0.98     9.32     -0.42      0.40        -0.06          -0.19                -0.06
1-114998           E           2.36        11.58       1.20     9.87     +0.04      0.69        -0.13          -0.13                -0.14
1-115097           S           2.04        10.41       0.63     9.74     -0.24      0.52        +0.19          -0.23                +0.07
1-115162           S           2.28        11.41       1.21     9.72     -0.17      0.68        -0.72          -0.55                -0.29
1-562254           E           2.22        11.10       0.87     9.49     +0.04      0.41        +0.09          -0.15                +0.02
1-114956           E           2.01        10.25       0.49     9.55     -0.13      0.45        -0.22          -0.54                -0.20
1-562158           E           2.22        11.04       0.90     9.85     +0.07      0.69        -0.15          +0.06                -0.07
1-596678           S           2.17        10.90       0.87     9.47     -0.12      0.44        -0.17          -0.20                -0.21
1-115320           S           1.73         9.91       0.56     9.18     -0.85      0.43        -0.14          -0.28                -0.06
1-114502           E           2.30        11.14       0.83     9.83     +0.11      0.67        -0.08          -0.11                -0.05
1-114171           E           2.46        11.62       1.02     9.84     +0.14      0.69        -0.19          +0.00                -0.16
1-114306           S           1.94        10.84       1.10     9.36     -0.40      0.48        -0.24          -0.58                -0.09
1-114500           S           1.89        10.26       0.76     9.21     -0.68      0.38        -0.28          +0.02                -0.13
1-114145           S           2.10        10.72       0.83     9.69     -0.08      0.56        -0.22          -0.49                -0.15
1-114532           E           2.26        11.11       0.83     9.66     +0.12      0.54        +0.01          -0.15                +0.01
1-114082           S           1.75        10.13       0.82     9.21     -1.02      0.21        -0.17          -0.13                -0.25
1-114325           S           2.06        11.04       1.18     9.44     -0.33      0.50        -0.48          -0.39                -0.20
1-114465           S           2.04        10.73       0.84     9.39     -0.32      0.42        -0.18          -0.14                -0.07
1-114128           E           2.38        11.36       0.85     9.95     +0.04      0.76        -0.24          +0.06                -0.15
1-550578           E           2.41        11.57       1.06     9.95     +0.03      0.75        -0.09          -0.33                -0.15
1-114334           E           2.05        10.18       0.38     9.73     -0.17      0.59        -0.17          -0.25                -0.12
1-167079           S           1.83         9.57       0.11     9.36     -0.82      0.42        +0.07          -0.12                +0.05
1-166919           S           2.19        11.09       0.90     9.48     -0.11      0.50        -0.27          -0.21                +0.01
1-166969           S           1.58         9.33       0.43     9.15     -0.84      0.06        -0.25          +0.21                -0.12
1-166932           E           2.32        11.26       0.85     9.72     +0.14      0.59        -0.24          -0.00                -0.20
1-166739           E           2.32        11.30       1.03     9.84     +0.10      0.69        -0.21          -0.15                -0.18
